date,source-uuid,orig-data,commodity-1,quantity-1,unit-1,commodity-2,quantity-2,unit-2,commodity-3,quantity-3,unit-3,commodity-4,quantity-4,unit-4,Column 16,Column 17,Column 18,Column 19
1910-04-25,7E356A0B-55A0-4FCD-8C80-FA45F256286E,kile | wheat | 45 | 52,wheat,1,kile,currency,45,ops,currency,52,ops,,,,,,,
1910-04-26,46B7F96F-E72B-4F3E-ADC1-7764B0076774,kile | wheat | 45 | 52,wheat,1,kile,currency,45,ops,currency,52,ops,,,,,,,
1910-04-27,94305A2D-5266-4D28-80C6-5A6D1FCF567B,kile | wheat | 45 | 52,wheat,1,kile,currency,45,ops,currency,52,ops,,,,,,,
1910-04-30,0DCA6B88-F351-43AE-B1B3-2FAD01B4ACA4,kile | wheat | 45 | 52,wheat,1,kile,currency,45,ops,currency,52,ops,,,,,,,
1910-05-01,58939E13-0613-41E3-BA5A-585653B624FE,kile | wheat | 45 | 52,wheat,1,kile,currency,45,ops,currency,52,ops,,,,,,,
1910-05-02,BF868648-22FE-46B4-8D48-3F5D899B6D94,kile | wheat | 45 | 52,wheat,1,kile,currency,45,ops,currency,52,ops,,,,,,,
1910-05-05,0C02D37B-01D9-4378-BF5B-0DB6A730BE13,kile | wheat | 45 | 52,wheat,1,kile,currency,45,ops,currency,52,ops,,,,,,,
1910-05-09,54381D87-372F-4C89-8ADC-31D0CA570164,kile | wheat | 42 | 45,wheat,1,kile,currency,42,ops,currency,45,ops,,,,,,,
1910-06-18,2C2AA520-DE7F-498D-B5D6-E024F6B0AC0F,the price of wheat fell to Ps 130 per Shunbul after it had been Ps 180,wheat,1,kile,currency,43.33333333333333,ops,currency,60,ops,,,,,,,
1910-06-23,CBC5E7A0-3960-45BF-B26A-29FD77B46741,The price of a shunbul of wheat had been Ps 170 and it fell to [only] Ps 80,wheat,1,kile,currency,56.666666666666664,ops,currency,26.666666666666664,ops,,,,,,,
1910-06-23,CBC5E7A0-3960-45BF-B26A-29FD77B46741,the price rose from Ps 80 to Ps 120 per shunbul if paid at once,wheat,1,kile,currency,26.666666666666664,ops,currency,40,ops,,,,,,,
1910-06-25,40F19A62-D95C-4506-B4CB-D4B7DA0492BC,the price of wheat in Aleppo fell from Ps 190 per Shunbul to Ps 80,wheat,1,kile,currency,63.33333333333333,ops,currency,26.666666666666664,ops,,,,,,,
1910-06-25,40F19A62-D95C-4506-B4CB-D4B7DA0492BC,the price rose to Ps 90 and even Ps 120,wheat,1,kile,currency,30,ops,currency,40,ops,,,,,,,
1910-07-03,132553F8-4F6A-4765-9250-D48D0673C784,yesterday; the price for a bushel of good wheat reached Ps 53,wheat,1,kile,currency,53,ops,,,,,,,,,,
1910-07-05,99AA92AF-93DB-4218-B857-05D8A5A60169,the madd of wheat had cost about Ps10 ten years ago,wheat,1,kile,currency,20,ops,,,,,,,,,,
1910-07-05,99AA92AF-93DB-4218-B857-05D8A5A60169,today it is sold at Ps 20-25,wheat,1,kile,currency,40,ops,currency,50,ops,,,,,,,
1910-07-05,A45ADCDD-136F-48F2-B852-165AB05FBE24,thus the price fell and already reached Ps 53 for a kile of nice wheat,wheat,1,kile,currency,53,ops,,,,,,,,,,
1910-07-09,9DE8C694-F350-4485-8B29-DF93828B579C,the shunbūl of wheat cost about Ps 190 and equals six madd,wheat,1,kile,wheat,1,kile,currency,63.33333333333333,ops,,,,,,,
1910-08-27,B25250A4-E884-4869-ADAF-CC77FF71D062,the kile of best quality is now Ps 48,wheat,1,kile,currency,48,ops,,,,,,,,,,
1910-08-27,B25250A4-E884-4869-ADAF-CC77FF71D062,the 2nd is Ps 40,wheat,1,kile,currency,40,ops,,,,,,,,,,
1910-08-27,B25250A4-E884-4869-ADAF-CC77FF71D062,without the current violence in the Ḥawrān; the price would be well below Ps 40,wheat,1,kile,currency,40,ops,,,,,,,,,,
1910-09-10,514EF78F-CA79-4B36-9822-DAF7BFB457C9,"wheat al-ḥurra al-ʿāl | 46-48""20",wheat,1,kile,currency,46,ops,currency,48.5,ops,,,,,,,
1910-09-10,514EF78F-CA79-4B36-9822-DAF7BFB457C9,wheat from Ḥawrān | 43-46,wheat,1,kile,currency,43,ops,currency,46,ops,,,,,,,
1910-09-10,C72BB7B1-E23A-444D-9268-A86A394519BB,"the kile is sold at Ps 47 and increased today to Ps 48""20",wheat,1,kile,currency,47,ops,currency,48.5,ops,,,,,,,
1910-09-11,0D7C9A05-782D-4E09-903B-060983654AE9,"wheat al-ḥurra al-ʿāl | 46-48""20",wheat,1,kile,currency,46,ops,currency,48.5,ops,,,,,,,
1910-09-11,0D7C9A05-782D-4E09-903B-060983654AE9,wheat from Ḥawrān | 43-46,wheat,1,kile,currency,43,ops,currency,46,ops,,,,,,,
1910-09-12,4C278AB6-2D95-470E-A873-31CA92B465CA,"wheat al-ḥurra al-ʿāl | 46-48""20",wheat,1,kile,currency,46,ops,currency,48.5,ops,,,,,,,
1910-09-12,4C278AB6-2D95-470E-A873-31CA92B465CA,wheat from Ḥawrān | 43-46,wheat,1,kile,currency,43,ops,currency,46,ops,,,,,,,
1910-09-13,42AEE3DF-882B-43EC-82F1-6C434B8F9C33,"wheat al-ḥurra al-ʿāl | 46-48""20",wheat,1,kile,currency,46,ops,currency,48.5,ops,,,,,,,
1910-09-13,42AEE3DF-882B-43EC-82F1-6C434B8F9C33,wheat from Ḥawrān | 43-46,wheat,1,kile,currency,43,ops,currency,46,ops,,,,,,,
1910-09-17,C3322A68-A03D-4283-800C-6832D70FF30C,"wheat al-ḥurra al-ʿāl | 46-49""20",wheat,1,kile,currency,46,ops,currency,49.5,ops,,,,,,,
1910-09-17,C3322A68-A03D-4283-800C-6832D70FF30C,"wheat from Ḥawrān | 43-46""20",wheat,1,kile,currency,43,ops,currency,46.5,ops,,,,,,,
1910-09-18,15CAF2FD-289C-41E3-A5F4-42D9B04A871E,"wheat al-ḥurra al-ʿāl | 46-49""20",wheat,1,kile,currency,46,ops,currency,49.5,ops,,,,,,,
1910-09-18,15CAF2FD-289C-41E3-A5F4-42D9B04A871E,"wheat from Ḥawrān | 43-46""20",wheat,1,kile,currency,43,ops,currency,46.5,ops,,,,,,,
1910-09-20,E6052AAA-6709-4615-AD28-8A0ADE565AB9,"wheat al-ḥurra al-ʿāl | 46-49""20",wheat,1,kile,currency,46,ops,currency,49.5,ops,,,,,,,
1910-09-20,E6052AAA-6709-4615-AD28-8A0ADE565AB9,"wheat from Ḥawrān | 43-46""20",wheat,1,kile,currency,43,ops,currency,46.5,ops,,,,,,,
1910-09-24,3F162DCC-5CAA-4C2A-B427-4F46B3B9F6CC,"wheat al-ḥurra al-ʿāl | 46-49""20",wheat,1,kile,currency,46,ops,currency,49.5,ops,,,,,,,
1910-09-24,3F162DCC-5CAA-4C2A-B427-4F46B3B9F6CC,"wheat from Ḥawrān | 43-46""20",wheat,1,kile,currency,43,ops,currency,46.5,ops,,,,,,,
1910-09-28,8715C46A-9A6D-470A-9D3D-127378066934,wheat al-ḥamra al-ʿāl | 47-51,wheat,1,kile,currency,47,ops,currency,51,ops,,,,,,,
1910-09-28,8715C46A-9A6D-470A-9D3D-127378066934,wheat from Ḥawrān | 43-48,wheat,1,kile,currency,43,ops,currency,48,ops,,,,,,,
1910-09-29,4A8C336E-501A-455A-97B5-7888F12ACF6A,wheat al-ḥamra al-ʿāl | 47-51,wheat,1,kile,currency,47,ops,currency,51,ops,,,,,,,
1910-09-29,4A8C336E-501A-455A-97B5-7888F12ACF6A,wheat from Ḥawrān | 43-48,wheat,1,kile,currency,43,ops,currency,48,ops,,,,,,,
1910-09-03,EF3ACD0C-ACA9-4FC5-A609-E17DCF3248E5,the kile of the best quality costs Ps 48,wheat,1,kile,currency,48,ops,,,,,,,,,,
1910-09-03,EF3ACD0C-ACA9-4FC5-A609-E17DCF3248E5,the second quality costs Ps 40,wheat,1,kile,currency,40,ops,,,,,,,,,,
1911-10-11,22ED22CE-05A0-4CF1-9EC9-679A3C633041,wheat | 42 - 44,wheat,1,kile,currency,42,ops,currency,44,ops,,,,,,,
1911-10-12,34F81615-2EFA-46EA-9511-190CA0EBD906,wheat | 42 - 44,wheat,1,kile,currency,42,ops,currency,44,ops,,,,,,,
1911-10-14,AA2292A1-13D8-4EE7-9A9A-50B8DD4163F7,wheat | 42 - 44,wheat,1,kile,currency,42,ops,currency,44,ops,,,,,,,
1911-10-16,3AE85F56-F497-475E-BAEC-84CC4F4ECE78,wheat | 42 - 46,wheat,1,kile,currency,42,ops,currency,46,ops,,,,,,,
1911-10-17,08B9A45F-576E-468B-AD49-1ACA70B66CD9,wheat | 42 - 46,wheat,1,kile,currency,42,ops,currency,46,ops,,,,,,,
1911-10-22,DAAAD70B-7614-48F9-9181-5133C7D87D03,wheat is sold at Ps 36,wheat,1,kile,currency,36,ops,,,,,,,,,,
1911-10-04,5E98630D-9E8C-4A39-B91E-4EAE86E93F59,wheat | 42 - 44,wheat,1,kile,currency,42,ops,currency,44,ops,,,,,,,
1911-10-05,47C8CA5B-F42E-487B-AC72-165738455A2A,wheat | 42 - 44,wheat,1,kile,currency,42,ops,currency,44,ops,,,,,,,
1911-12-30,9DF948E0-0237-4E43-BA43-B0BAFF5CE71A,currently wheat is sold at Ps 35-37 per kile,wheat,1,kile,currency,35,ops,currency,37,ops,,,,,,,
1911-05-30,D20CBE8A-693F-44F1-8221-F8E9C44D0117,"qamḥ al-jabalī al-jayyid | 48""20",wheat,1,kile,currency,48.5,ops,,,,,,,,,,
1911-05-30,D20CBE8A-693F-44F1-8221-F8E9C44D0117,qamḥ al-ḥawrānī | 45-46,wheat,1,kile,curreny,45,ops,curreny,46,ops,,,,,,,
1911-05-30,D20CBE8A-693F-44F1-8221-F8E9C44D0117,qamḥ al-jayyidūrī | 42-44,wheat,1,kile,curreny,42,ops,curreny,44,ops,,,,,,,
1911-05-30,D20CBE8A-693F-44F1-8221-F8E9C44D0117,qamḥ al-ʿarabī | 42-44,wheat,1,kile,curreny,42,ops,curreny,44,ops,,,,,,,
1911-05-30,D20CBE8A-693F-44F1-8221-F8E9C44D0117,qamḥ ʿarabī ayḍan | 39,wheat,1,kile,curreny,39,ops,,,,,,,,,,
1911-06-01,411C8E5E-1465-4ED2-898E-01727788BF5E,"qamḥ al-jabalī al-jayyid | 48""20",wheat,1,kile,currency,48.5,ops,,,,,,,,,,
1911-06-01,411C8E5E-1465-4ED2-898E-01727788BF5E,qamḥ al-ḥawrānī | 45-46,wheat,1,kile,curreny,45,ops,curreny,46,ops,,,,,,,
1911-06-01,411C8E5E-1465-4ED2-898E-01727788BF5E,qamḥ al-jayyidūrī | 42-44,wheat,1,kile,curreny,42,ops,curreny,44,ops,,,,,,,
1911-06-01,411C8E5E-1465-4ED2-898E-01727788BF5E,qamḥ al-ʿarabī | 42-44,wheat,1,kile,curreny,42,ops,curreny,44,ops,,,,,,,
1911-06-01,411C8E5E-1465-4ED2-898E-01727788BF5E,qamḥ ʿarabī ayḍan | 39,wheat,1,kile,curreny,39,ops,,,,,,,,,,
1911-06-14,F5A0EA65-772B-4908-AE3E-793757D59014,"qamḥ al- jabalī al- jayyid | 48""20",wheat,1,kile,currency,48.5,ops,,,,,,,,,,
1911-06-14,F5A0EA65-772B-4908-AE3E-793757D59014,qamḥ al- ḥawrānī | 45- 46,wheat,1,kile,curreny,45,ops,curreny,46,ops,,,,,,,
1911-06-14,F5A0EA65-772B-4908-AE3E-793757D59014,qamḥ al- jayyidūrī | 42- 44,wheat,1,kile,curreny,42,ops,curreny,44,ops,,,,,,,
1911-06-14,F5A0EA65-772B-4908-AE3E-793757D59014,qamḥ al- ʿarabī | 42- 44,wheat,1,kile,curreny,42,ops,curreny,44,ops,,,,,,,
1911-06-14,F5A0EA65-772B-4908-AE3E-793757D59014,qamḥ ʿarabī ayḍan | 39,wheat,1,kile,curreny,39,ops,,,,,,,,,,
1911-06-20,BF80108A-6203-4FF7-8744-1E6AFC4CCE16,"best wheat | 46 to 47""20",wheat,1,kile,currency,46,ops,currency,47.5,ops,,,,,,,
1911-06-20,BF80108A-6203-4FF7-8744-1E6AFC4CCE16,medium quality wheat | 41-45,wheat,1,kile,currency,41,ops,currency,45,ops,,,,,,,
1911-06-20,BF80108A-6203-4FF7-8744-1E6AFC4CCE16,lowest quality wheat | 38-40,wheat,1,kile,currency,38,ops,currency,40,ops,,,,,,,
1911-06-21,C00666C1-3A11-4D7C-9BF7-3484E5918E6B,last year the good wheat was Ps 56 / kile,wheat,1,kile,currency,56,ops,,,,,,,,,,
1911-06-21,C00666C1-3A11-4D7C-9BF7-3484E5918E6B,today it is Ps 47,wheat,1,kile,currency,47,ops,,,,,,,,,,
1911-06-06,346BCE76-89F7-4644-AA58-DE58CD00D9DE,"qamḥ al- jabalī al- jayyid | 48""20",wheat,1,kile,currency,48.5,ops,,,,,,,,,,
1911-06-06,346BCE76-89F7-4644-AA58-DE58CD00D9DE,qamḥ al- ḥawrānī | 45- 46,wheat,1,kile,curreny,45,ops,curreny,46,ops,,,,,,,
1911-06-06,346BCE76-89F7-4644-AA58-DE58CD00D9DE,qamḥ al- jayyidūrī | 42- 44,wheat,1,kile,curreny,42,ops,curreny,44,ops,,,,,,,
1911-06-06,346BCE76-89F7-4644-AA58-DE58CD00D9DE,qamḥ al- ʿarabī | 42- 44,wheat,1,kile,curreny,42,ops,curreny,44,ops,,,,,,,
1911-06-06,346BCE76-89F7-4644-AA58-DE58CD00D9DE,qamḥ ʿarabī ayḍan | 39,wheat,1,kile,curreny,39,ops,,,,,,,,,,
1911-07-26,1824327C-5D45-4C0D-9666-849D294CB0FB,wheat is between Ps 30 and Ps 36 per kile,wheat,1,kile,currency,30,ops,currency,36,ops,,,,,,,
1912-01-03,88DE97DD-F2D3-4A89-8A45-5B40D3B467FC,yesterday the price for the kile of best quality fell from Ps 42 to Ps 40,wheat,1,kile,currency,42,ops,currency,40,ops,,,,,,,
1912-03-31,F2B68DE9-6F4C-4451-B16E-B6F8225B778B,today the best quality fetches Ps 37 per kile,wheat,1,kile,currency,37,ops,,,,,,,,,,
1912-03-31,F2B68DE9-6F4C-4451-B16E-B6F8225B778B,the good quality fetches Ps 30,wheat,1,kile,currency,30,ops,,,,,,,,,,
1912-04-13,965B8BFD-60F6-49C9-B671-C437D070D8BE,the price of wheat increased Ps 1 to Ps 38 per kile for the best quality,wheat,1,kile,currency,37,ops,currency,38,ops,,,,,,,
1912-08-11,125CBC3F-7C59-449C-857A-EC5F81E55780,the price of wheatrose from Ps 36 to Ps 42 per kile,wheat,1,kile,currency,36,ops,currency,42,ops,,,,,,,
1913-01-04,FDB884D0-55A1-4B1E-B13D-9D4116F8464B,the price of wheat at Damascus is Ps 43-52 per kile,wheat,1,kile,currency,43,ops,currency,52,ops,,,,,,,
1913-11-03,36CBD90A-4238-4BDA-B749-CFE5562F9D90,in Muʿallaqa the madd of Dūshānī wheat is sold at Ps 19-22,wheat,1,kile,currency,19,ops,currency,22,ops,,,,,,,
1913-11-03,36CBD90A-4238-4BDA-B749-CFE5562F9D90,wheat from the Beqāʿ at Ps 15-18,wheat,1,kile,currency,15,ops,currency,18,ops,,,,,,,
1913-03-29,774F73C5-7614-47A2-A342-F76723C901CD,the last two days the kile of wheat fetched Ps 59 to 65,wheat,1,kile,currency,59,ops,currency,65,ops,,,,,,,
1913-04-07,6CFA7E8A-5A1B-49C2-BE25-4D213224F352,price of wheat currently at Ps 55 - 80 per kile,wheat,1,kile,currency,55,ops,currency,80,ops,,,,,,,
1914-01-30,AAAEDBE6-C528-4BC2-8C6A-31A2271BAFB6,wheat from Urfa that is transported via Aleppo to Damascus by the German railway services sells at Ps 33 per cift,wheat,1,kile,currency,33,ops,,,,,,,,,,
1914-01-30,AAAEDBE6-C528-4BC2-8C6A-31A2271BAFB6,wheat from the Ḥawrān has not exceeded (yet) Ps 40,wheat,1,kile,currency,40,ops,,,,,,,,,,
1914-03-09,CAF03588-EF50-4D87-8600-C27C5BE1AC3D,kile of wheat is sold at Ps 40 to 45 in Damascus these days,wheat,1,kile,currency,40,ops,currency,45,ops,,,,,,,
1914-04-05,AF025C42-33E5-43C2-9355-DFBE20B89E8C,premium wheat | 44,wheat,1,kile,currency,44,ops,,,,,,,,,,
1914-04-05,AF025C42-33E5-43C2-9355-DFBE20B89E8C,medium wheat | 43,wheat,1,kile,currency,43,ops,,,,,,,,,,
1914-04-05,AF025C42-33E5-43C2-9355-DFBE20B89E8C,low quality (al-dūn) wheat | 42,wheat,1,kile,currency,42,ops,,,,,,,,,,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,wheat; best quality | kile | | 51,wheat,1,kile,currency,51,ops,,,,,,,,,,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,"wheat; medium quality | kile | | 49""20",wheat,1,kile,currency,49.5,ops,,,,,,,,,,
1915-12-26,699B5AAE-E06F-4F15-8CD4-8748B2BEC143,"wheat; normal quality | kile | | 47""20",wheat,1,kile,currency,47.5,ops,,,,,,,,,,
1915-02-12,A5214421-437F-4C50-8D01-AF7914B0BC5B,wheat | 44 | 38,wheat,1,kile,currency,44,ops,currency,38,ops,,,,,,,
1915-04-10,CEEE34D4-AD7F-424C-9349-EA1FB713237F,"highest quality: Ps 47""20 to Ps 50 per kile",wheat,1,kile,currency,47.5,ops,currency,50,ops,,,,,,,
1915-04-10,CEEE34D4-AD7F-424C-9349-EA1FB713237F,"medium quality: Ps 45 to 47""20",wheat,1,kile,currency,45,ops,currency,47.5,ops,,,,,,,
1915-04-10,CEEE34D4-AD7F-424C-9349-EA1FB713237F,common quality: Ps 40 to Ps 45,wheat,1,kile,currency,40,ops,currency,45,ops,,,,,,,
1915-05-15,FCFA7DC1-252F-4A8E-B517-351ADD5D5EE7,best | 42 ½ | 45,wheat,1,kile,currency,42.5,ops,currency,45,ops,,,,,,,
1915-05-15,FCFA7DC1-252F-4A8E-B517-351ADD5D5EE7,medium | 40 | 42 ½,wheat,1,kile,currency,40,ops,currency,42.5,ops,,,,,,,
1915-05-15,FCFA7DC1-252F-4A8E-B517-351ADD5D5EE7,normal | 37 ½ | 40,wheat,1,kile,currency,37.5,ops,currency,40,ops,,,,,,,
1915-07-31,BD075ACF-87C2-4663-891C-4DC1868C197C,best | 37 ½ | 40,wheat,1,kile,currency,37.5,ops,currency,40,ops,,,,,,,
1915-07-31,BD075ACF-87C2-4663-891C-4DC1868C197C,medium | 35 | 37 ½,wheat,1,kile,currency,35,ops,currency,37.5,ops,,,,,,,
1915-07-31,BD075ACF-87C2-4663-891C-4DC1868C197C,normal | 32 ½ | 35,wheat,1,kile,currency,32.5,ops,currency,35,ops,,,,,,,
1916-05-21,19C44F82-DEEB-4CD7-8FB9-360030F2DE60,the madd of wheat costs Ps 20,wheat,1,kile,currency,40,ops,,,,,,,,,,
1916-05-21,19C44F82-DEEB-4CD7-8FB9-360030F2DE60,the madd of wheat costs Ps 20,wheat,1,kile,currency,40,ops,,,,,,,,,,
1916-05-21,19C44F82-DEEB-4CD7-8FB9-360030F2DE60,the madd of wheat costs Ps 18,wheat,1,kile,currency,36,ops,,,,,,,,,,
1917-07-02,CDD7DB4C-1F6A-437D-945A-D1140DB680B3,festgesetzte Preise beträgt 4 türk. Pfund Papier für ein Schumbul (98-105 Kilo),wheat,1,kile,wheat,32.666666666666664,kg,wheat,35,kg,currency,133.33333333333331,ops,,,,
1917-07-02,CDD7DB4C-1F6A-437D-945A-D1140DB680B3,Schumbul (98-105 Kilo),wheat,1,kile,wheat,32.666666666666664,kg,wheat,35,kg,,,,,,,
1917-07-02,CDD7DB4C-1F6A-437D-945A-D1140DB680B3,einem Marktpreise von 15 türk. Pfund Papier für ein Schumbul,wheat,1,kile,currency,500,ops,,,,,,,,,,
1917-07-02,CDD7DB4C-1F6A-437D-945A-D1140DB680B3,**Verkaufspreis** an die Bevölkerung auf 1 ½ Ltq. Papier,wheat,1,kile,currency,50,ops,,,,,,,,,,
1917-07-02,CDD7DB4C-1F6A-437D-945A-D1140DB680B3,Getreide der vergangenen Ernte zu dem gleichen Preis von 4 Pfund für das Schumbul,wheat,1,kile,currency,133.33333333333331,ops,,,,,,,,,,
1917-07-24,656AFACA-55D8-489C-B04D-CD9238B8BC1B,le prix du blé avait baissé de 160 à 95 p.D. le tchift de 34 à 35 K,wheat,1,kile,wheat,34,kg,wheat,35,kg,currency,160,ops,currency,95,ops,
1917-07-24,656AFACA-55D8-489C-B04D-CD9238B8BC1B,le tchift de 34 à 35 K,wheat,1,kile,wheat,34,kg,wheat,35,kg,,,,,,,
1917-07-24,656AFACA-55D8-489C-B04D-CD9238B8BC1B,le prix a rehaussé jusque’i 135-145 (suivant le qualité),wheat,1,kile,currency,135,ops,currency,145,ops,,,,,,,
1917-08-01,5F211B51-6B61-4A32-8E77-4F246DF3421E,Le tchift du blé P.Damas 450 = P. arg. 360 ;-,wheat,1,kile,currency,450,ops,currency,360,ops,,,,,,,
1918-03-16,F6A6E170-6C78-42CD-BD8D-C12CE4039988,der Preis eines Djift (32kg) Weizen; der im Januar und Februar d.J. etwa 190 Piaster Damaszener Hartgeld,wheat,1,kile,wheat,32,kg,currency,190,ops,,,,,,,
1918-03-16,F6A6E170-6C78-42CD-BD8D-C12CE4039988,eines Djift (32kg) Weizen,wheat,1,kile,wheat,32,kg,,,,,,,,,,
1918-03-16,F6A6E170-6C78-42CD-BD8D-C12CE4039988,auf 370 Piaster gestiegen,wheat,1,kile,currency,370,ops,,,,,,,,,,
1918-03-16,F6A6E170-6C78-42CD-BD8D-C12CE4039988,Ein Djift Weizen kostete vor zwei Tagen noch 440 heute 545 Piaster,wheat,1,kile,currency,440,ops,currency,545,ops,,,,,,,
1918-03-16,F6A6E170-6C78-42CD-BD8D-C12CE4039988,Anfangspreise 1917: 1 Djift = 120 Damaszener Piaster,wheat,1,kile,currency,120,ops,,,,,,,,,,
1918-03-17,9B13C41D-4033-4C03-90CE-C94A987DB3B0,Jift Getreide zu 330 Pi. Hart,wheat,1,kile,currency,330,ops,,,,,,,,,,
1918-03-17,9B13C41D-4033-4C03-90CE-C94A987DB3B0,Getreide (Weizen) Jift 275 Pi. Hart,wheat,1,kile,currency,275,ops,,,,,,,,,,
1918-03-17,9B13C41D-4033-4C03-90CE-C94A987DB3B0,Weizen 370,wheat,1,kile,currency,370,ops,,,,,,,,,,
1918-03-17,9B13C41D-4033-4C03-90CE-C94A987DB3B0,1 Jift Weizen 520,wheat,1,kile,currency,520,ops,,,,,,,,,,
1918-03-17,9B13C41D-4033-4C03-90CE-C94A987DB3B0,""" 545",wheat,1,kile,currency,545,ops,,,,,,,,,,
1918-03-17,9B13C41D-4033-4C03-90CE-C94A987DB3B0,""" 525",wheat,1,kile,currency,525,ops,,,,,,,,,,
1918-03-17,9B13C41D-4033-4C03-90CE-C94A987DB3B0,in Gold jift zu 140 Piaster,wheat,1,kile,currency,140,ops,,,,,,,,,,
1918-05-04,57483ADA-8B2F-4D62-A4FF-9239B52DAE9F,Ein Dschifd Getreide (35kg) stieg von 160 Piaster Silbergeld Damaszener Währung auf 550 und 750 Piaster.,wheat,1,kile,wheat,35,kg,currency,160,ops,currency,550,ops,currency,750,ops,
1918-05-04,57483ADA-8B2F-4D62-A4FF-9239B52DAE9F,Ein Dschifd Getreide (35kg),wheat,1,kile,wheat,35,kg,,,,,,,,,,
1918-05-04,57483ADA-8B2F-4D62-A4FF-9239B52DAE9F,1 Dschifd Getreide gleich 450 Damaskuspiaster gleich 360 Piaster Silber,wheat,1,kile,currency,450,ops,currency,360,ops,,,,,,,
1918-05-04,57483ADA-8B2F-4D62-A4FF-9239B52DAE9F,Friedenspreise 30 Piaster Gold,wheat,1,kile,currency,30,ops,,,,,,,,,,
1918-05-04,57483ADA-8B2F-4D62-A4FF-9239B52DAE9F,ein Dschifd Getreide auf 350 Piaster Damaszener Währung,wheat,1,kile,currency,350,ops,,,,,,,,,,
1918-08-29,898142FB-328A-473A-9C30-668101AFE7FF,auf dem Markte schwankt der Preis für ein Dschifd (zwischen 31 - 35 kg) zwischen 410 und 450 Piastern Hartgeld (Damaszener Kurs),wheat,1,kile,wheat,31,kg,wheat,35,kg,currency,410,ops,currency,450,ops,
1918-08-29,898142FB-328A-473A-9C30-668101AFE7FF,ein Dschifd (zwischen 31 - 35 kg),wheat,1,kile,wheat,31,kg,wheat,35,kg,,,,,,,
1923-01-01,EA1CE9BC-4359-4F3E-AEAD-0A914552D8C0,price of wheat reached Ps 550 per cift in March 1918,wheat,1,kile,currency,550,ops,,,,,,,,,,