"TimeStamp","duration","Name","source","orig.data","commodity","quantity","unit","value","currency","X","Latitude","Longitude"
1889-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","wheat | ton | 15173 | gbp | 85000","wheat",15416464.9474161,"kg",85000,"gbp",NA,NA,NA
1888-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","wheat | ton | 7560 | gbp | 40320","wheat",7681307.25647303,"kg",40320,"gbp",NA,NA,NA
1889-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","barley | ton | 8100 | gbp | 25800","barley",8229972.06050682,"kg",25800,"gbp",NA,NA,NA
1888-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","barley | ton | 4045 | gbp | 17120","barley",4109905.80058643,"kg",17120,"gbp",NA,NA,NA
1889-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","oats | ton | 712 | gbp | 2400","oats",723424.704577884,"kg",2400,"gbp",NA,NA,NA
1888-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","oats | ton | 700 | gbp | 2628","oats",711232.153377133,"kg",2628,"gbp",NA,NA,NA
1890-01-01,"P1Y","Acre","40DC073A-5404-4AFD-BE1D-7AFC650DE6B2","cereals | bushel | 1679768 | gbp | 247334","cereals",1679768,"kg",247334,"gbp",NA,32.923925,35.07063
1889-01-01,"P1Y","Acre","40DC073A-5404-4AFD-BE1D-7AFC650DE6B2","cereals | bushel | 1133985 | gbp | 135985","cereals",1133985,"kg",135985,"gbp",NA,32.923925,35.07063
1890-01-01,"P1Y","Acre","40DC073A-5404-4AFD-BE1D-7AFC650DE6B2","maize | bushel | 221464 | gbp | 21725","maize",221464,"kg",21725,"gbp",NA,32.923925,35.07063
1889-01-01,"P1Y","Acre","40DC073A-5404-4AFD-BE1D-7AFC650DE6B2","maize | bushel | 448952 | gbp | 39283","maize",448952,"kg",39283,"gbp",NA,32.923925,35.07063
1891-01-01,"P1Y","Alexandretta","ABDA2C1D-2396-475F-B922-B3307910D959","cereals | ton | 19496 | gbp | 113004","cereals",19808831.5174865,"kg",113004,"gbp",NA,NA,NA
1890-01-01,"P1Y","Alexandretta","ABDA2C1D-2396-475F-B922-B3307910D959","cereals | ton | 14945 | gbp | 85752","cereals",15184806.4746018,"kg",85752,"gbp",NA,NA,NA
1891-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 62000 | gbp | 393000","wheat",62994847.8705461,"kg",393000,"gbp",NA,NA,NA
1890-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 28850 | gbp | 16500","wheat",29312925.1784718,"kg",16500,"gbp",NA,NA,NA
1891-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","barley | ton | 31500 | gbp | 22500","barley",32005446.901971,"kg",22500,"gbp",NA,NA,NA
1890-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","barley | ton | 18250 | gbp | 58500","barley",18542838.2844752,"kg",58500,"gbp",NA,NA,NA
1891-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","oats | ton | 5600 | gbp | 22500","oats",5689857.22701706,"kg",22500,"gbp",NA,NA,NA
1890-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","oats | ton | 10300 | gbp | 33000","oats",10465273.1139778,"kg",33000,"gbp",NA,NA,NA
1891-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","millet | ton | 1900 | gbp | 9500","millet",1930487.27345222,"kg",9500,"gbp",NA,NA,NA
1890-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","millet | ton | 600 | gbp | 1650","millet",609627.560037542,"kg",1650,"gbp",NA,NA,NA
1891-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 100000 | gbp | 633000","wheat",101604593.33959,"kg",633000,"gbp",NA,NA,NA
1890-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 47700 | gbp | 283000","wheat",48465391.0229846,"kg",283000,"gbp",NA,NA,NA
1891-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","barley | ton | 66500 | gbp | 340400","barley",67567054.5708276,"kg",340400,"gbp",NA,NA,NA
1890-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","barley | ton | 59250 | gbp | 189500","barley",60200721.5537073,"kg",189500,"gbp",NA,NA,NA
1891-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","millet | ton | 4900 | gbp | 24500","millet",4978625.07363993,"kg",24500,"gbp",NA,NA,NA
1890-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","millet | ton | 2100 | gbp | 8650","millet",2133696.4601314,"kg",8650,"gbp",NA,NA,NA
1891-01-01,"P1Y","Jaffa","4E6DC2B2-9835-496C-A069-E706B7277DE0","wheat | qr | 2695 | gbp | 3300","wheat",34228.0799663754,"kg",3300,"gbp",NA,32.05043,34.75224
1890-01-01,"P1Y","Jaffa","4E6DC2B2-9835-496C-A069-E706B7277DE0","wheat | qr | 20805 | gbp | 19920","wheat",264235.697105914,"kg",19920,"gbp",NA,32.05043,34.75224
1891-01-01,"P1Y","Jaffa","4E6DC2B2-9835-496C-A069-E706B7277DE0","maize | qr | 18325 | gbp | 17300","maize",232738.243185094,"kg",17300,"gbp",NA,32.05043,34.75224
1890-01-01,"P1Y","Jaffa","4E6DC2B2-9835-496C-A069-E706B7277DE0","maize | qr | 17476 | gbp | 11240","maize",221955.445451716,"kg",11240,"gbp",NA,32.05043,34.75224
1892-01-01,"P1Y","Damascus","7DFF128B-44EC-434C-B1C3-E74CB611A1E1","flour | cwt | 187500 | gbp | 70000","flour",9525440.22722113,"kg",70000,"gbp",NA,33.5102,36.29128
1891-01-01,"P1Y","Damascus","7DFF128B-44EC-434C-B1C3-E74CB611A1E1","flour | cwt | 125000 | gbp | 53960","flour",6350293.48481409,"kg",53960,"gbp",NA,33.5102,36.29128
1893-01-01,"P1Y","Jaffa","E01E25C5-9CFE-4D35-8FB2-A3DFB7EC8EF0","maize | qr | 3246 | gbp | 2580","maize",41226.1029947512,"kg",2580,"gbp",NA,32.05043,34.75224
1892-01-01,"P1Y","Jaffa","E01E25C5-9CFE-4D35-8FB2-A3DFB7EC8EF0","maize | qr | 695 | gbp | 420","maize",8826.90744958474,"kg",420,"gbp",NA,32.05043,34.75224
1893-01-01,"P1Y","Alexandretta","729A9379-398E-48D9-864C-7A56EE088030","cereals | ton | 2394 | gbp | 10357","cereals",2432413.96454979,"kg",10357,"gbp",NA,NA,NA
1892-01-01,"P1Y","Alexandretta","729A9379-398E-48D9-864C-7A56EE088030","cereals | ton | 7113 | gbp | 36211","cereals",7227134.72424507,"kg",36211,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","wheat | ton | 11328 | gbp | 50000","wheat",11509768.3335088,"kg",50000,"gbp",NA,NA,NA
1892-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","wheat | ton | 56000 | gbp | 325000","wheat",56898572.2701706,"kg",325000,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","barley | ton | 4850 | gbp | 15500","barley",4927822.77697014,"kg",15500,"gbp",NA,NA,NA
1892-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","barley | ton | 9400 | gbp | 38100","barley",9550831.7739215,"kg",38100,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","oats | ton | 8110 | gbp | 32500","oats",8240132.51984078,"kg",32500,"gbp",NA,NA,NA
1892-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","oats | ton | 8300 | gbp | 31200","oats",8433181.247186,"kg",31200,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","millet | ton | 825 | gbp | 3300","millet",838237.895051621,"kg",3300,"gbp",NA,NA,NA
1892-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","millet | ton | 500 | gbp | 2500","millet",508022.966697952,"kg",2500,"gbp",NA,NA,NA
1892-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","rye | ton | 1600 | gbp | 8000","rye",1625673.49343345,"kg",8000,"gbp",NA,NA,NA
1893-01-01,"P1Y","Damascus","5BACF30F-DD45-4D02-ABB8-E3723CC7B194","flour | cwt | 250000 | gbp | 72000","flour",12700586.9696282,"kg",72000,"gbp",NA,33.5102,36.29128
1893-01-01,"P1Y","Damascus","5BACF30F-DD45-4D02-ABB8-E3723CC7B194","cereals | cwt | 25000 | gbp | 7600","cereals",1270058.69696282,"kg",7600,"gbp",NA,33.5102,36.29128
1892-01-01,"P1Y","Damascus","5BACF30F-DD45-4D02-ABB8-E3723CC7B194","flour | cwt | 187500 | gbp | 70000","flour",9525440.22722113,"kg",70000,"gbp",NA,33.5102,36.29128
1892-01-01,"P1Y","Haifa","3AB233EA-2076-4723-AABE-1499E9326D5C","wheat | qr | 50110 | gbp | 70154","wheat",636426.377408189,"kg",70154,"gbp",NA,32.81841,34.9885
1893-01-01,"P1Y","Haifa","3AB233EA-2076-4723-AABE-1499E9326D5C","wheat | qr | 13910 | gbp | 12519","wheat",176665.154854279,"kg",12519,"gbp",NA,32.81841,34.9885
1892-01-01,"P1Y","Saida","3AB233EA-2076-4723-AABE-1499E9326D5C","wheat | bushel | 16000 | |","wheat",16000,"kg",NA,"",NA,33.55751,35.37148
1892-01-01,"P1Y","Saida","3AB233EA-2076-4723-AABE-1499E9326D5C","barley | bushel | 32000 | |","barley",32000,"kg",NA,"",NA,33.55751,35.37148
1892-01-01,"P1Y","Saida","3AB233EA-2076-4723-AABE-1499E9326D5C","millet | bushel | 6000 | |","millet",6000,"kg",NA,"",NA,33.55751,35.37148
1892-01-01,"P1Y","Tripoli","3AB233EA-2076-4723-AABE-1499E9326D5C","barley | qr | 1228 | |","barley",15596.3199253094,"kg",NA,"",NA,34.43352,35.84415
1892-01-01,"P1Y","Tripoli","3AB233EA-2076-4723-AABE-1499E9326D5C","wheat | qr | 9260 | |","wheat",117607.428752741,"kg",NA,"",NA,34.43352,35.84415
1893-01-01,"P1Y","Tripoli","3AB233EA-2076-4723-AABE-1499E9326D5C","wheat | qr | 4508 | gbp | 6524","wheat",57254.2428528461,"kg",6524,"gbp",NA,34.43352,35.84415
1894-01-01,"P1Y","Damascus","8D01452F-7446-4B13-8286-C699929310FE","flour | qr | 250000 | gbp | 60000","flour",3175146.56459883,"kg",60000,"gbp",NA,33.5102,36.29128
1894-01-01,"P1Y","Damascus","8D01452F-7446-4B13-8286-C699929310FE","cereals | qr | 50000 | gbp | 8000","cereals",635029.312919766,"kg",8000,"gbp",NA,33.5102,36.29128
1894-01-01,"P1Y","Damascus","8D01452F-7446-4B13-8286-C699929310FE","flour | qr | 250000 | gbp | 72000","flour",3175146.56459883,"kg",72000,"gbp",NA,33.5102,36.29128
1894-01-01,"P1Y","Damascus","8D01452F-7446-4B13-8286-C699929310FE","cereals | qr | 25000 | gbp | 7000","cereals",317514.656459883,"kg",7000,"gbp",NA,33.5102,36.29128
1894-01-01,"P1Y","Alexandretta","A2807B15-24DC-44A9-ADE0-3FE460392616","cereals | ton | 2043 | gbp | 9891","cereals",2075781.84192783,"kg",9891,"gbp",NA,NA,NA
1893-01-01,"P1Y","Alexandretta","A2807B15-24DC-44A9-ADE0-3FE460392616","cereals | ton | 2394 | gbp | 10357","cereals",2432413.96454979,"kg",10357,"gbp",NA,NA,NA
1894-01-01,"P1Y","Adana","A2807B15-24DC-44A9-ADE0-3FE460392616","wheat | ton | 13093 | gbp | 52372","wheat",13303089.4059526,"kg",52372,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","A2807B15-24DC-44A9-ADE0-3FE460392616","wheat | ton | 11328 | gbp | 50000","wheat",11509768.3335088,"kg",50000,"gbp",NA,NA,NA
1894-01-01,"P1Y","Adana","A2807B15-24DC-44A9-ADE0-3FE460392616","barley | ton | 4966 | gbp | 14989","barley",5045684.10524406,"kg",14989,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","A2807B15-24DC-44A9-ADE0-3FE460392616","barley | ton | 4850 | gbp | 15500","barley",4927822.77697014,"kg",15500,"gbp",NA,NA,NA
1894-01-01,"P1Y","Adana","A2807B15-24DC-44A9-ADE0-3FE460392616","oats | ton | 18617 | gbp | 55851","oats",18915727.1420315,"kg",55851,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","A2807B15-24DC-44A9-ADE0-3FE460392616","oats | ton | 8110 | gbp | 32500","oats",8240132.51984078,"kg",32500,"gbp",NA,NA,NA
1894-01-01,"P1Y","Adana","A2807B15-24DC-44A9-ADE0-3FE460392616","millet | ton | 670 | gbp | 3685","millet",680750.775375256,"kg",3685,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","A2807B15-24DC-44A9-ADE0-3FE460392616","millet | ton | 825 | gbp | 3300","millet",838237.895051621,"kg",3300,"gbp",NA,NA,NA
1894-01-01,"P1Y","Jaffa","52572E1A-2890-47EE-AF5C-585A03A25DF7","maize | qr | 2356 | gbp | 2000","maize",29922.5812247794,"kg",2000,"gbp",NA,32.05043,34.75224
1893-01-01,"P1Y","Jaffa","52572E1A-2890-47EE-AF5C-585A03A25DF7","maize | qr | 3246 | gbp | 2580","maize",41226.1029947512,"kg",2580,"gbp",NA,32.05043,34.75224
1893-01-01,"P1Y","Haifa","1E644FDC-B145-458F-9BFA-E39C26F489EA","wheat | qr | 13910 | gbp | 12519","wheat",176665.154854279,"kg",12519,"gbp",NA,32.81841,34.9885
1894-01-01,"P1Y","Haifa","1E644FDC-B145-458F-9BFA-E39C26F489EA","wheat | qr | 10845 | gbp | 7050","wheat",137737.857972297,"kg",7050,"gbp",NA,32.81841,34.9885
1899-01-01,"P1Y","Haifa","FE843889-C0E6-49B7-AB06-8F36740A5B99","wheat | qr | 44178 | gbp | 57214","wheat",561086.499723388,"kg",57214,"gbp",NA,32.81841,34.9885
1900-01-01,"P1Y","Haifa","FE843889-C0E6-49B7-AB06-8F36740A5B99","wheat | qr | 58470 | gbp | 75116","wheat",742603.278528374,"kg",75116,"gbp",NA,32.81841,34.9885
1899-01-01,"P1Y","Haifa","FE843889-C0E6-49B7-AB06-8F36740A5B99","barley | qr | 575 | gbp | 566","barley",7302.8370985773,"kg",566,"gbp",NA,32.81841,34.9885
1900-01-01,"P1Y","Haifa","FE843889-C0E6-49B7-AB06-8F36740A5B99","barley | qr | 1700 | gbp | 1364","barley",21590.996639272,"kg",1364,"gbp",NA,32.81841,34.9885
1900-01-01,"P1Y","Haifa","FE843889-C0E6-49B7-AB06-8F36740A5B99","millet | qr | 11345 | gbp | 7894","millet",144088.151101495,"kg",7894,"gbp",NA,32.81841,34.9885
1899-01-01,"P1Y","Haifa","FE843889-C0E6-49B7-AB06-8F36740A5B99","millet | qr | 4877 | gbp | 3692","millet",61940.7591821939,"kg",3692,"gbp",NA,32.81841,34.9885
1899-01-01,"P1Y","Tripoli","FE843889-C0E6-49B7-AB06-8F36740A5B99","barley | ton | 8000 | gbp | 60000","barley",8128367.46716723,"kg",60000,"gbp",NA,34.43352,35.84415
1900-01-01,"P1Y","Tripoli","FE843889-C0E6-49B7-AB06-8F36740A5B99","barley | ton | 33000 | gbp | 225000","barley",33529515.8020648,"kg",225000,"gbp",NA,34.43352,35.84415
1900-01-01,"P1Y","Saida","FE843889-C0E6-49B7-AB06-8F36740A5B99","millet | qr | 4500 | |","millet",57152.6381627789,"kg",NA,"",NA,33.55751,35.37148
1900-01-01,"P1Y","Latakia","FE843889-C0E6-49B7-AB06-8F36740A5B99","cereals | ton | 5000 | gbp | 39000","cereals",5080229.66697952,"kg",39000,"gbp",NA,35.51484,35.77684
1899-01-01,"P1Y","Latakia","FE843889-C0E6-49B7-AB06-8F36740A5B99","cereals | ton | 9250 | gbp | 67562","cereals",9398424.88391211,"kg",67562,"gbp",NA,35.51484,35.77684
1899-01-01,"P1Y","Jaffa","B8E3F7E8-1451-42DA-B1FD-168D39F17932","wheat | qr | 0 | gbp | 0","wheat",0,"kg",0,"gbp",NA,32.05043,34.75224
1899-01-01,"P1Y","Jaffa","B8E3F7E8-1451-42DA-B1FD-168D39F17932","maize | qr | 300 | gbp | 1350","maize",3810.17587751859,"kg",1350,"gbp",NA,32.05043,34.75224
1898-01-01,"P1Y","Jaffa","B8E3F7E8-1451-42DA-B1FD-168D39F17932","wheat | qr | 10000 | gbp | 14000","wheat",127005.862583953,"kg",14000,"gbp",NA,32.05043,34.75224
1898-01-01,"P1Y","Jaffa","B8E3F7E8-1451-42DA-B1FD-168D39F17932","maize | qr | 3000 | gbp | 3000","maize",38101.7587751859,"kg",3000,"gbp",NA,32.05043,34.75224
1900-01-01,"P1Y","Beirut","FE843889-C0E6-49B7-AB06-8F36740A5B99","barley | ton | 3500 | gbp | 13000","barley",3556160.76688566,"kg",13000,"gbp",NA,33.88894,35.49442
1899-01-01,"P1Y","Beirut","FE843889-C0E6-49B7-AB06-8F36740A5B99","barley | ton | 4000 | gbp | 15200","barley",4064183.73358362,"kg",15200,"gbp",NA,33.88894,35.49442
1898-01-01,"P1Y","Damascus","03C4A6FC-AA3B-4D47-ADA9-61DC253CE8EC","barley | qr | 7188 | gbp | 8000","barley",91291.8140253455,"kg",8000,"gbp",NA,33.5102,36.29128
1898-01-01,"P1Y","Beirut","A85C3773-BED0-4F10-A05B-BA718961F238","barley | ton | 2100 | gbp | 9475","barley",2133696.4601314,"kg",9475,"gbp",NA,33.88894,35.49442
1897-01-01,"P1Y","Beirut","A85C3773-BED0-4F10-A05B-BA718961F238","barley | ton | 4150 | gbp | 16000","barley",4216590.623593,"kg",16000,"gbp",NA,33.88894,35.49442
1898-01-01,"P1Y","Haifa","A85C3773-BED0-4F10-A05B-BA718961F238","wheat | qr | 67500 | gbp | 102942","wheat",857289.572441684,"kg",102942,"gbp",NA,32.81841,34.9885
1898-01-01,"P1Y","Haifa","A85C3773-BED0-4F10-A05B-BA718961F238","barley | qr | 6600 | gbp | 3970","barley",83823.8693054091,"kg",3970,"gbp",NA,32.81841,34.9885
1897-01-01,"P1Y","Haifa","A85C3773-BED0-4F10-A05B-BA718961F238","wheat | qr | 36062 | gbp | 54093","wheat",458008.541650252,"kg",54093,"gbp",NA,32.81841,34.9885
1897-01-01,"P1Y","Haifa","A85C3773-BED0-4F10-A05B-BA718961F238","barley | qr | 1705 | gbp | 1065","barley",21654.499570564,"kg",1065,"gbp",NA,32.81841,34.9885
1898-01-01,"P1Y","Haifa","A85C3773-BED0-4F10-A05B-BA718961F238","millet | qr | 10500 | gbp | 8235","millet",133356.155713151,"kg",8235,"gbp",NA,32.81841,34.9885
1897-01-01,"P1Y","Haifa","A85C3773-BED0-4F10-A05B-BA718961F238","millet | qr | 16988 | gbp | 14864","millet",215757.55935762,"kg",14864,"gbp",NA,32.81841,34.9885
1898-01-01,"P1Y","Latakia","A85C3773-BED0-4F10-A05B-BA718961F238","cereals | ton | 3941 | gbp | 23645.4","cereals",4004237.02351326,"kg",23645.4,"gbp",NA,35.51484,35.77684
1898-01-01,"P1Y","Tripoli","A85C3773-BED0-4F10-A05B-BA718961F238","wheat | ton | 1250 | |","wheat",1270057.41674488,"kg",NA,"",NA,34.43352,35.84415
1898-01-01,"P1Y","Tripoli","A85C3773-BED0-4F10-A05B-BA718961F238","barley | ton | 5000 | |","barley",5080229.66697952,"kg",NA,"",NA,34.43352,35.84415
1898-01-01,"P1Y","Tripoli","A85C3773-BED0-4F10-A05B-BA718961F238","maize | ton | 750 | |","maize",762034.450046928,"kg",NA,"",NA,34.43352,35.84415
1897-01-01,"P1Y","Beirut","D3198FBB-974F-4308-BBC8-A682A14CD4F4","barley | ton | 4150 | gbp | 16000","barley",4216590.623593,"kg",16000,"gbp",NA,33.88894,35.49442
1897-01-01,"P1Y","Haifa","D3198FBB-974F-4308-BBC8-A682A14CD4F4","wheat | qr | 36062 | gbp | 54093","wheat",458008.541650252,"kg",54093,"gbp",NA,32.81841,34.9885
1897-01-01,"P1Y","Haifa","D3198FBB-974F-4308-BBC8-A682A14CD4F4","barley | qr | 1705 | gbp | 1065","barley",21654.499570564,"kg",1065,"gbp",NA,32.81841,34.9885
1897-01-01,"P1Y","Tripoli","D3198FBB-974F-4308-BBC8-A682A14CD4F4","wheat | ton | 4500 | gbp | 25000","wheat",4572206.70028157,"kg",25000,"gbp",NA,34.43352,35.84415
1897-01-01,"P1Y","Tripoli","D3198FBB-974F-4308-BBC8-A682A14CD4F4","barley | ton | 14755 | gbp | 50020","barley",14991757.7472566,"kg",50020,"gbp",NA,34.43352,35.84415
1896-01-01,"P1Y","Jaffa","35862167-C38B-44F4-BD35-171623673E22","wheat | qr | 1091 | gbp | 1920","wheat",13856.3396079093,"kg",1920,"gbp",NA,32.05043,34.75224
1895-01-01,"P1Y","Jaffa","35862167-C38B-44F4-BD35-171623673E22","wheat | qr | 4970 | gbp | 3560","wheat",63121.9137042247,"kg",3560,"gbp",NA,32.05043,34.75224
1896-01-01,"P1Y","Jaffa","35862167-C38B-44F4-BD35-171623673E22","maize | qr | 20850 | gbp | 14178","maize",264807.223487542,"kg",14178,"gbp",NA,32.05043,34.75224
1895-01-01,"P1Y","Jaffa","35862167-C38B-44F4-BD35-171623673E22","maize | qr | 4726 | gbp | 3200","maize",60022.9706571762,"kg",3200,"gbp",NA,32.05043,34.75224
1896-01-01,"P1Y","Jaffa","35862167-C38B-44F4-BD35-171623673E22","barley | qr | 1000 | gbp | 635","barley",12700.5862583953,"kg",635,"gbp",NA,32.05043,34.75224
1895-01-01,"P1Y","Jaffa","35862167-C38B-44F4-BD35-171623673E22","barley | qr | 650 | gbp | 360","barley",8255.38106795695,"kg",360,"gbp",NA,32.05043,34.75224
1895-01-01,"P1Y","Jaffa","48EF5545-F790-4F88-BEC9-F2B7EA906728","wheat | qr | 4970 | gbp | 3560","wheat",63121.9137042247,"kg",3560,"gbp",NA,32.05043,34.75224
1894-01-01,"P1Y","Jaffa","48EF5545-F790-4F88-BEC9-F2B7EA906728","maize | qr | 2356 | gbp | 2000","maize",29922.5812247794,"kg",2000,"gbp",NA,32.05043,34.75224
1895-01-01,"P1Y","Jaffa","48EF5545-F790-4F88-BEC9-F2B7EA906728","maize | qr | 4726 | gbp | 3200","maize",60022.9706571762,"kg",3200,"gbp",NA,32.05043,34.75224
1895-01-01,"P1Y","Jaffa","48EF5545-F790-4F88-BEC9-F2B7EA906728","barley | qr | 650 | gbp | 360","barley",8255.38106795695,"kg",360,"gbp",NA,32.05043,34.75224
