"schema.date","duration","schema.Place","source","orig.data","commodity","quantity","unit","price.min","currency","price.max","X","schema.latitude","schema.longitude","schema.language","schema.identifier","year","quarter","month","week","date.common","month.common","price.avg","dm.min","dm.max","dm.avg","dmp.min","dmp.max","dmp.avg"
1888-01-01,"P1Y","Adana","2B2DFE93-9930-4C62-92B6-56F2E166130F","wheat | ton | 21560 | gbp | 109320","wheat",1,"kg",0.00499042490204826,"gbp",NA,NA,37.00167,35.32889,"en","https://www.geonames.org/325363",1888-01-01,1888-01-01,1888-01-01,1887-12-26,2000-01-01,2000-01-01,0.00499042490204826,-0.050238954922124,NA,-0.050238954922124,-90.9641844287665,NA,-90.9641844287665
1888-01-01,"P1Y","Jaffa","C75E6DA4-13CB-48B5-BFFF-E6C0CA5D8663","wheat | qr | 6250 | gbp | 7800","wheat",1,"kg",0.0982631805027937,"gbp",NA,NA,32.05043,34.75224,"en","https://www.geonames.org/293253",1888-01-01,1888-01-01,1888-01-01,1887-12-26,2000-01-01,2000-01-01,0.0982631805027937,0.0430338006786215,NA,0.0430338006786215,77.9183123468406,NA,77.9183123468406
1888-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","wheat | ton | 7560 | gbp | 40320","wheat",1,"kg",0.00524910651972974,"gbp",NA,NA,36.81196,34.63886,"en","https://www.geonames.org/304531",1888-01-01,1888-01-01,1888-01-01,1887-12-26,2000-01-01,2000-01-01,0.00524910651972974,-0.0499802733044425,NA,-0.0499802733044425,-90.4958076001564,NA,-90.4958076001564
1889-01-01,"P1Y","Adana","2B2DFE93-9930-4C62-92B6-56F2E166130F","wheat | ton | 23173 | gbp | 124600","wheat",1,"kg",0.00529203172084694,"gbp",NA,NA,37.00167,35.32889,"en","https://www.geonames.org/325363",1889-01-01,1889-01-01,1889-01-01,1888-12-31,2000-01-01,2000-01-01,0.00529203172084694,-0.0499373481033253,NA,-0.0499373481033253,-90.4180859214885,NA,-90.4180859214885
1889-01-01,"P1Y","Jaffa","C75E6DA4-13CB-48B5-BFFF-E6C0CA5D8663","wheat | qr | 14130 | gbp | 16950","wheat",1,"kg",0.0944503936388727,"gbp",NA,NA,32.05043,34.75224,"en","https://www.geonames.org/293253",1889-01-01,1889-01-01,1889-01-01,1888-12-31,2000-01-01,2000-01-01,0.0944503936388727,0.0392210138147004,NA,0.0392210138147004,71.0147641338072,NA,71.0147641338072
1889-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","wheat | ton | 15173 | gbp | 85000","wheat",1,"kg",0.00551358565598054,"gbp",NA,NA,36.81196,34.63886,"en","https://www.geonames.org/304531",1889-01-01,1889-01-01,1889-01-01,1888-12-31,2000-01-01,2000-01-01,0.00551358565598054,-0.0497157941681917,NA,-0.0497157941681917,-90.016933607559,NA,-90.016933607559
1890-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 47700 | gbp | 283000","wheat",1,"kg",0.00583921833759244,"gbp",NA,NA,37.00167,35.32889,"en","https://www.geonames.org/325363",1890-01-01,1890-01-01,1890-01-01,1889-12-30,2000-01-01,2000-01-01,0.00583921833759244,-0.0493901614865798,NA,-0.0493901614865798,-89.4273331401111,NA,-89.4273331401111
1890-01-01,"P1Y","Jaffa","4E6DC2B2-9835-496C-A069-E706B7277DE0","wheat | qr | 20805 | gbp | 19920","wheat",1,"kg",0.0753872403243662,"gbp",NA,NA,32.05043,34.75224,"en","https://www.geonames.org/293253",1890-01-01,1890-01-01,1890-01-01,1889-12-30,2000-01-01,2000-01-01,0.0753872403243662,0.0201578605001939,NA,0.0201578605001939,36.4984371802984,NA,36.4984371802984
1890-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 28850 | gbp | 16500","wheat",1,"kg",0.000562891622024745,"gbp",NA,NA,36.81196,34.63886,"en","https://www.geonames.org/304531",1890-01-01,1890-01-01,1890-01-01,1889-12-30,2000-01-01,2000-01-01,0.000562891622024745,-0.0546664882021475,NA,-0.0546664882021475,-98.9808112569492,NA,-98.9808112569492
1891-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 100000 | gbp | 633000","wheat",1,"kg",0.00623003330060424,"gbp",NA,NA,37.00167,35.32889,"en","https://www.geonames.org/325363",1891-01-01,1891-01-01,1891-01-01,1890-12-29,2000-01-01,2000-01-01,0.00623003330060424,-0.048999346523568,NA,-0.048999346523568,-88.7197116454356,NA,-88.7197116454356
1891-01-01,"P1Y","Jaffa","4E6DC2B2-9835-496C-A069-E706B7277DE0","wheat | qr | 2695 | gbp | 3300","wheat",1,"kg",0.0964120687821759,"gbp",NA,NA,32.05043,34.75224,"en","https://www.geonames.org/293253",1891-01-01,1891-01-01,1891-01-01,1890-12-29,2000-01-01,2000-01-01,0.0964120687821759,0.0411826889580037,NA,0.0411826889580037,74.5666329933679,NA,74.5666329933679
1891-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 62000 | gbp | 393000","wheat",1,"kg",0.00623860543020299,"gbp",NA,NA,36.81196,34.63886,"en","https://www.geonames.org/304531",1891-01-01,1891-01-01,1891-01-01,1890-12-29,2000-01-01,2000-01-01,0.00623860543020299,-0.0489907743939693,NA,-0.0489907743939693,-88.7041906860729,NA,-88.7041906860729
1892-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","wheat | ton | 56000 | gbp | 325000","wheat",1,"kg",0.00571191836689342,"gbp",NA,NA,37.00167,35.32889,"en","https://www.geonames.org/325363",1892-01-01,1892-01-01,1892-01-01,1891-12-28,2000-01-01,2000-01-01,0.00571191836689342,-0.0495174614572788,NA,-0.0495174614572788,-89.6578263506166,NA,-89.6578263506166
1892-01-01,"P1Y","Haifa","3AB233EA-2076-4723-AABE-1499E9326D5C","wheat | qr | 50110 | gbp | 70154","wheat",1,"kg",0.110231131974288,"gbp",NA,NA,32.81841,34.9885,"en","https://www.geonames.org/294801",1892-01-01,1892-01-01,1892-01-01,1891-12-28,2000-01-01,2000-01-01,0.110231131974288,0.0550017521501156,NA,0.0550017521501156,99.5878503890839,NA,99.5878503890839
1893-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","wheat | ton | 11328 | gbp | 50000","wheat",1,"kg",0.00434413608955388,"gbp",NA,NA,37.00167,35.32889,"en","https://www.geonames.org/325363",1893-01-01,1893-01-01,1893-01-01,1892-12-26,2000-01-01,2000-01-01,0.00434413608955388,-0.0508852437346184,NA,-0.0508852437346184,-92.1343746690913,NA,-92.1343746690913
1893-01-01,"P1Y","Adana","A2807B15-24DC-44A9-ADE0-3FE460392616","wheat | ton | 11328 | gbp | 50000","wheat",1,"kg",0.00434413608955388,"gbp",NA,NA,37.00167,35.32889,"en","https://www.geonames.org/325363",1893-01-01,1893-01-01,1893-01-01,1892-12-26,2000-01-01,2000-01-01,0.00434413608955388,-0.0508852437346184,NA,-0.0508852437346184,-92.1343746690913,NA,-92.1343746690913
1893-01-01,"P1Y","Haifa","3AB233EA-2076-4723-AABE-1499E9326D5C","wheat | qr | 13910 | gbp | 12519","wheat",1,"kg",0.0708628705548993,"gbp",NA,NA,32.81841,34.9885,"en","https://www.geonames.org/294801",1893-01-01,1893-01-01,1893-01-01,1892-12-26,2000-01-01,2000-01-01,0.0708628705548993,0.0156334907307271,NA,0.0156334907307271,28.3064752501254,NA,28.3064752501254
1893-01-01,"P1Y","Haifa","1E644FDC-B145-458F-9BFA-E39C26F489EA","wheat | qr | 13910 | gbp | 12519","wheat",1,"kg",0.0708628705548993,"gbp",NA,NA,32.81841,34.9885,"en","https://www.geonames.org/294801",1893-01-01,1893-01-01,1893-01-01,1892-12-26,2000-01-01,2000-01-01,0.0708628705548993,0.0156334907307271,NA,0.0156334907307271,28.3064752501254,NA,28.3064752501254
1893-01-01,"P1Y","Tripoli","3AB233EA-2076-4723-AABE-1499E9326D5C","wheat | qr | 4508 | gbp | 6524","wheat",1,"kg",0.113947887089659,"gbp",NA,NA,34.43352,35.84415,"en","https://www.geonames.org/266826",1893-01-01,1893-01-01,1893-01-01,1892-12-26,2000-01-01,2000-01-01,0.113947887089659,0.0587185072654864,NA,0.0587185072654864,106.317520588538,NA,106.317520588538
1894-01-01,"P1Y","Adana","A2807B15-24DC-44A9-ADE0-3FE460392616","wheat | ton | 13093 | gbp | 52372","wheat",1,"kg",0.00393682988979731,"gbp",NA,NA,37.00167,35.32889,"en","https://www.geonames.org/325363",1894-01-01,1894-01-01,1894-01-01,1894-01-01,2000-01-01,2000-01-01,0.00393682988979731,-0.0512925499343749,NA,-0.0512925499343749,-92.8718557001173,NA,-92.8718557001173
1894-01-01,"P1Y","Haifa","1E644FDC-B145-458F-9BFA-E39C26F489EA","wheat | qr | 10845 | gbp | 7050","wheat",1,"kg",0.0511841849712658,"gbp",NA,NA,32.81841,34.9885,"en","https://www.geonames.org/294801",1894-01-01,1894-01-01,1894-01-01,1894-01-01,2000-01-01,2000-01-01,0.0511841849712658,-0.00404519485290641,NA,-0.00404519485290641,-7.32435320799302,NA,-7.32435320799302
1895-01-01,"P1Y","Jaffa","35862167-C38B-44F4-BD35-171623673E22","wheat | qr | 4970 | gbp | 3560","wheat",1,"kg",0.0563987970434701,"gbp",NA,NA,32.05043,34.75224,"en","https://www.geonames.org/293253",1895-01-01,1895-01-01,1895-01-01,1894-12-31,2000-01-01,2000-01-01,0.0563987970434701,0.00116941721929781,NA,0.00116941721929781,2.11738249283398,NA,2.11738249283398
1895-01-01,"P1Y","Jaffa","48EF5545-F790-4F88-BEC9-F2B7EA906728","wheat | qr | 4970 | gbp | 3560","wheat",1,"kg",0.0563987970434701,"gbp",NA,NA,32.05043,34.75224,"en","https://www.geonames.org/293253",1895-01-01,1895-01-01,1895-01-01,1894-12-31,2000-01-01,2000-01-01,0.0563987970434701,0.00116941721929781,NA,0.00116941721929781,2.11738249283398,NA,2.11738249283398
1896-01-01,"P1Y","Jaffa","35862167-C38B-44F4-BD35-171623673E22","wheat | qr | 1091 | gbp | 1920","wheat",1,"kg",0.138564733135153,"gbp",NA,NA,32.05043,34.75224,"en","https://www.geonames.org/293253",1896-01-01,1896-01-01,1896-01-01,1895-12-30,2000-01-01,2000-01-01,0.138564733135153,0.0833353533109807,NA,0.0833353533109807,150.889533028048,NA,150.889533028048
1897-01-01,"P1Y","Haifa","A85C3773-BED0-4F10-A05B-BA718961F238","wheat | qr | 36062 | gbp | 54093","wheat",1,"kg",0.118104784258166,"gbp",NA,NA,32.81841,34.9885,"en","https://www.geonames.org/294801",1897-01-01,1897-01-01,1897-01-01,1896-12-28,2000-01-01,2000-01-01,0.118104784258166,0.0628754044339933,NA,0.0628754044339933,113.844125416876,NA,113.844125416876
1897-01-01,"P1Y","Haifa","D3198FBB-974F-4308-BBC8-A682A14CD4F4","wheat | qr | 36062 | gbp | 54093","wheat",1,"kg",0.118104784258166,"gbp",NA,NA,32.81841,34.9885,"en","https://www.geonames.org/294801",1897-01-01,1897-01-01,1897-01-01,1896-12-28,2000-01-01,2000-01-01,0.118104784258166,0.0628754044339933,NA,0.0628754044339933,113.844125416876,NA,113.844125416876
1897-01-01,"P1Y","Tripoli","D3198FBB-974F-4308-BBC8-A682A14CD4F4","wheat | ton | 4500 | gbp | 25000","wheat",1,"kg",0.00546781929138515,"gbp",NA,NA,34.43352,35.84415,"en","https://www.geonames.org/266826",1897-01-01,1897-01-01,1897-01-01,1896-12-28,2000-01-01,2000-01-01,0.00546781929138515,-0.0497615605327871,NA,-0.0497615605327871,-90.0997995834962,NA,-90.0997995834962
1898-01-01,"P1Y","Haifa","A85C3773-BED0-4F10-A05B-BA718961F238","wheat | qr | 67500 | gbp | 102942","wheat",1,"kg",0.120078446430658,"gbp",NA,NA,32.81841,34.9885,"en","https://www.geonames.org/294801",1898-01-01,1898-01-01,1898-01-01,1897-12-27,2000-01-01,2000-01-01,0.120078446430658,0.0648490666064853,NA,0.0648490666064853,117.417698357175,NA,117.417698357175
1898-01-01,"P1Y","Jaffa","B8E3F7E8-1451-42DA-B1FD-168D39F17932","wheat | qr | 10000 | gbp | 14000","wheat",1,"kg",0.110231131974288,"gbp",NA,NA,32.05043,34.75224,"en","https://www.geonames.org/293253",1898-01-01,1898-01-01,1898-01-01,1897-12-27,2000-01-01,2000-01-01,0.110231131974288,0.0550017521501156,NA,0.0550017521501156,99.5878503890839,NA,99.5878503890839
1899-01-01,"P1Y","Haifa","FE843889-C0E6-49B7-AB06-8F36740A5B99","wheat | qr | 44178 | gbp | 57214","wheat",1,"kg",0.101970017151021,"gbp",NA,NA,32.81841,34.9885,"en","https://www.geonames.org/294801",1899-01-01,1899-01-01,1899-01-01,1898-12-26,2000-01-01,2000-01-01,0.101970017151021,0.0467406373268484,NA,0.0467406373268484,84.6300238671002,NA,84.6300238671002
1899-01-01,"P1Y","Jaffa","B8E3F7E8-1451-42DA-B1FD-168D39F17932","wheat | qr | 0 | gbp | 0","wheat",NA,"kg",NA,"gbp",NA,NA,32.05043,34.75224,"en","https://www.geonames.org/293253",1899-01-01,1899-01-01,1899-01-01,1898-12-26,2000-01-01,2000-01-01,NA,NA,NA,NA,NA,NA,NA
1900-01-01,"P1Y","Haifa","FE843889-C0E6-49B7-AB06-8F36740A5B99","wheat | qr | 58470 | gbp | 75116","wheat",1,"kg",0.101152260125835,"gbp",NA,NA,32.81841,34.9885,"en","https://www.geonames.org/294801",1900-01-01,1900-01-01,1900-01-01,1900-01-01,2000-01-01,2000-01-01,0.101152260125835,0.0459228803016628,NA,0.0459228803016628,83.1493680498721,NA,83.1493680498721
