1858-01-01,1,year,120,ops,
1858-01-01,1,year,144,ops,
1878-10-17,1,issue,1,ops,
1898-01-03,1,issue,1.5,ops,
1902-03-27,1,copy,1.50,ops,
1908-07-06,1,issue,1.5,ops,
1908-08-24,1,year,120,ops,
1908-10-19,1,issue,1.5,ops,
1910-07-23,1,year,93,ops,
1910-07-23,1,year,46,ops,
1910-08-18,1,year,50,ops,
1913-01-04,1,issue,0.25,ops,
1913-10-18,1,year,93,ops,
1914-01-02,1,year,93,ops,
1914-01-22,1,issue,0.25,ops,
1914-09-07,1,year,93,ops,
1915-01-06,1,issue,0.25,ops,
1916-02-10,1,issue,0.25,ops,
1916-04-25,1,year,100,ops,
1916-04-25,6,month,60,ops,
1916-04-25,3,month,35,ops,
1918-05-19,1,issue,1,ops,
1918-05-19,1,month,10,ops,
1918-05-19,1,issue,2,ops,
1918-05-19,1,month,15,ops,